video_id,title,channel_name,category_name,view_count,like_count,comment_count,engagement_score,duration_seconds,thumbnail_url,published_at,processed_at
o2O5zld368E,Dinda Samay Bhar  Bechon | Happy Sarhul | New Kurukh Song | Singer Pawan Roy & Jyoti Sahu,Sangi Production,Music,48641,1255,75,2.7343187845644623,324,https://i.ytimg.com/vi/o2O5zld368E/hqdefault.jpg,2026-03-13 01:48:32+00:00,2026-03-15 09:47:54.859724
w7l-rzOWNps,Granny Live! Intense 🔥Escape Room Gameplay || Granny Jumpscares! ||granny legacy #granny #live,KAAL BHAIRAV .9,Gaming,819594,2562,0,0.3125937964406767,4108,https://i.ytimg.com/vi/w7l-rzOWNps/hqdefault.jpg,2026-03-14 10:27:50+00:00,2026-03-15 09:47:54.859724
bBKNNnYgg9U, New Song 2026 | Dil Ki Khamoshi | Aryan Khan | Rashmika M. | New Hindi Song | Romantic Song 2026,Prakash Jojawar,Music,476031,2968,38,0.6314714797985845,271,https://i.ytimg.com/vi/bBKNNnYgg9U/hqdefault.jpg,2026-03-12 02:27:24+00:00,2026-03-15 09:47:54.859724
j56naAiJzJU,🔴[Live Free Fire New Rank Season Rank Push Live !! Goldmedal Pennem Star is Back,MADHU PENNEM GAMING,Gaming,129158,3722,0,2.881741742671766,16728,https://i.ytimg.com/vi/j56naAiJzJU/hqdefault.jpg,2026-03-14 15:47:58+00:00,2026-03-15 09:47:54.859724
qUbv25csvlA,#Video | साड़ी के मोतीया |#Deepak Raj Yadav | #Shristi Bharti | Sadi Ke Motiya | 2026 ,DEEPAK RAJ YADAV OFFICIAL,Music,89500,3825,114,4.401117318435754,225,https://i.ytimg.com/vi/qUbv25csvlA/hqdefault.jpg,2026-03-13 05:34:29+00:00,2026-03-15 09:47:54.859724
SFf7hlu3PZU,Franklin Turns Into a Giant - GTA 5,Mask Girl Gaming,Gaming,23779,457,32,2.056436351402498,886,https://i.ytimg.com/vi/SFf7hlu3PZU/hqdefault.jpg,2026-03-14 09:07:53+00:00,2026-03-15 09:47:54.859724
cqsuoNjKsSo,अलविदा अलविदा माहे रमजान | Alvida Alvida Mahe Ramzan | Heart Touching Kalam 2026 | Faizan Taj,Taj Gulshan Islamic,Music,231022,1431,25,0.6302430071594912,404,https://i.ytimg.com/vi/cqsuoNjKsSo/hqdefault.jpg,2026-03-13 02:00:00+00:00,2026-03-15 09:47:54.859724
Ag5NHyiODZM,CHANCE TO WIN FREE DIAMONDS 💎 Free Fire Max,STAR GAMERS,Gaming,38816,4871,252,13.198165704863973,313,https://i.ytimg.com/vi/Ag5NHyiODZM/hqdefault.jpg,2026-03-14 16:45:25+00:00,2026-03-15 09:47:54.859724
BYstnEX2JqE,Sadi Ke Motiya Jhari Gel Singer Bhai Ji & Shrishti Bharti New Khortha Song Mix Dj Rajhans Jamui,Dj Rajhans Jamui No1,Music,435308,5116,57,1.1883539930348166,188,https://i.ytimg.com/vi/BYstnEX2JqE/hqdefault.jpg,2026-03-11 01:00:13+00:00,2026-03-15 09:47:54.859724
I6P23erF4JA,UPGRADING My ANIMAL Until I Get 99 WINS in ROBLOX !,GT Blox,Gaming,21736,1087,83,5.382775119617225,1822,https://i.ytimg.com/vi/I6P23erF4JA/hqdefault.jpg,2026-03-14 14:29:27+00:00,2026-03-15 09:47:54.859724


